# schema.function(args)|returns|volatility|security|config
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
api.read_partner_overview(p_well_id uuid)|jsonb|stable|invoker|search_path=pg_catalog, pg_temp
api.record_expense(p_well_id uuid, p_category_code text, p_amount_minor bigint, p_description text, p_attachment_url text, p_attachment_skipped boolean, p_payment_source text, p_note text, p_partner_id uuid)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.record_fuel_consumption(p_well_id uuid, p_quantity_ml bigint, p_ownership_type text, p_measurement_type text, p_owner_person_id uuid, p_farmer_well_account_id uuid, p_fuel_tank_id uuid, p_session_segment_id uuid, p_occurred_at timestamp with time zone, p_estimated_transaction_id uuid)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.record_payment(p_well_id uuid, p_farmer_well_account_id uuid, p_amount_minor bigint, p_method text, p_allocations jsonb, p_session_charge_id uuid, p_payer_person_id uuid, p_cashbox_id uuid, p_paid_at timestamp with time zone, p_note text, p_attachment_url text, p_command_id uuid)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.record_physical_fuel_count(p_well_id uuid, p_fuel_tank_id uuid, p_measured_balance_ml bigint, p_counted_at timestamp with time zone, p_notes text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.request_member_password_reset(p_well_id uuid, p_phone text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.request_session_transfer(p_session_id uuid, p_from_shift_id uuid, p_to_profile_id uuid, p_collection_right text, p_note text)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.reschedule_booking(p_booking_id uuid, p_scheduled_start timestamp with time zone, p_scheduled_end timestamp with time zone, p_reason text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.respond_session_transfer(p_transfer_id uuid, p_accept boolean, p_to_shift_id uuid)|text|volatile|invoker|search_path=pg_catalog, pg_temp
api.resume_irrigation_session(p_session_id uuid, p_resumed_at timestamp with time zone, p_command_id uuid)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.revoke_well_member(p_well_id uuid, p_role text, p_phone text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.save_well_pump(p_well_id uuid, p_name text, p_pump_id uuid, p_pump_type text, p_power_rating text, p_estimated_water_flow_liters_per_minute numeric, p_estimated_fuel_ml_per_hour bigint, p_status text, p_installed_at date, p_notes text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.settle_handover(p_handover_id uuid)|text|volatile|invoker|search_path=pg_catalog, pg_temp
api.setup_well_full(p_setup_data jsonb)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.start_irrigation_session(p_well_id uuid, p_pump_id uuid, p_farm_id uuid, p_farmer_well_account_id uuid, p_energy_source text, p_started_at timestamp with time zone, p_fuel_owner_person_id uuid, p_command_id uuid)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.update_profile_name(p_full_name text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.update_well_details(p_well_id uuid, p_name text, p_location text, p_depth_meters numeric, p_static_water_level_meters numeric, p_notes text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
audit.log(p_tenant_id uuid, p_well_id uuid, p_action text, p_entity_type text, p_entity_id uuid, p_old jsonb, p_new jsonb, p_reason text)|uuid|volatile|definer|search_path=audit, pg_temp
audit.prevent_audit_modification()|trigger|volatile|invoker|-
audit.track_changes()|trigger|volatile|definer|search_path=audit, core, pg_temp
billing.allocate_payment(p_payment_id uuid, p_allocations jsonb)|jsonb|volatile|definer|search_path=billing, finance, core, audit, iam, pg_temp
billing.fill_payment_context()|trigger|volatile|definer|search_path=billing, ops, finance, core, pg_temp
billing.issue_session_invoice(p_session_id uuid, p_issued_by uuid)|uuid|volatile|definer|search_path=billing, ops, finance, core, iam, pg_temp
billing.journalize_invoice()|trigger|volatile|definer|search_path=billing, finance, core, pg_temp
billing.journalize_payment()|trigger|volatile|definer|search_path=billing, finance, core, pg_temp
billing.record_payment(p_well_id uuid, p_farmer_well_account_id uuid, p_amount_minor bigint, p_method text, p_allocations jsonb, p_session_charge_id uuid, p_payer_person_id uuid, p_cashbox_id uuid, p_paid_at timestamp with time zone, p_note text, p_attachment_url text)|jsonb|volatile|definer|search_path=billing, finance, ops, core, audit, iam, pg_temp
billing.reverse_payment(p_payment_id uuid, p_reason text, p_reversed_by uuid)|uuid|volatile|definer|search_path=billing, finance, core, pg_temp
billing.split_overpayment_to_advance()|trigger|volatile|definer|search_path=billing, finance, core, pg_temp
core.check_well_profit_shares_total()|trigger|volatile|invoker|-
core.claim_well_invitation(p_code text)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
core.consume_password_reset(p_phone text, p_code text)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
core.create_tenant_with_well(p_tenant_name text, p_well_name text)|uuid|volatile|definer|search_path=core, pg_temp
