# schema.function(args)|returns|volatility|security|config
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
public.gbt_bytea_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_bytea_same(gbtreekey_var, gbtreekey_var, internal)|internal|immutable|invoker|-
public.gbt_bytea_union(internal, internal)|gbtreekey_var|immutable|invoker|-
public.gbt_cash_compress(internal)|internal|immutable|invoker|-
public.gbt_cash_consistent(internal, money, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_cash_distance(internal, money, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_cash_fetch(internal)|internal|immutable|invoker|-
public.gbt_cash_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_cash_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_cash_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_cash_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_date_compress(internal)|internal|immutable|invoker|-
public.gbt_date_consistent(internal, date, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_date_distance(internal, date, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_date_fetch(internal)|internal|immutable|invoker|-
public.gbt_date_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_date_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_date_same(gbtreekey8, gbtreekey8, internal)|internal|immutable|invoker|-
public.gbt_date_union(internal, internal)|gbtreekey8|immutable|invoker|-
public.gbt_decompress(internal)|internal|immutable|invoker|-
public.gbt_enum_compress(internal)|internal|immutable|invoker|-
public.gbt_enum_consistent(internal, anyenum, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_enum_fetch(internal)|internal|immutable|invoker|-
public.gbt_enum_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_enum_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_enum_same(gbtreekey8, gbtreekey8, internal)|internal|immutable|invoker|-
public.gbt_enum_union(internal, internal)|gbtreekey8|immutable|invoker|-
public.gbt_float4_compress(internal)|internal|immutable|invoker|-
public.gbt_float4_consistent(internal, real, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_float4_distance(internal, real, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_float4_fetch(internal)|internal|immutable|invoker|-
public.gbt_float4_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_float4_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_float4_same(gbtreekey8, gbtreekey8, internal)|internal|immutable|invoker|-
public.gbt_float4_union(internal, internal)|gbtreekey8|immutable|invoker|-
public.gbt_float8_compress(internal)|internal|immutable|invoker|-
public.gbt_float8_consistent(internal, double precision, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_float8_distance(internal, double precision, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_float8_fetch(internal)|internal|immutable|invoker|-
public.gbt_float8_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_float8_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_float8_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_float8_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_inet_compress(internal)|internal|immutable|invoker|-
public.gbt_inet_consistent(internal, inet, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_inet_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_inet_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_inet_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_inet_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_int2_compress(internal)|internal|immutable|invoker|-
public.gbt_int2_consistent(internal, smallint, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_int2_distance(internal, smallint, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_int2_fetch(internal)|internal|immutable|invoker|-
public.gbt_int2_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_int2_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_int2_same(gbtreekey4, gbtreekey4, internal)|internal|immutable|invoker|-
public.gbt_int2_union(internal, internal)|gbtreekey4|immutable|invoker|-
public.gbt_int4_compress(internal)|internal|immutable|invoker|-
public.gbt_int4_consistent(internal, integer, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_int4_distance(internal, integer, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_int4_fetch(internal)|internal|immutable|invoker|-
public.gbt_int4_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_int4_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_int4_same(gbtreekey8, gbtreekey8, internal)|internal|immutable|invoker|-
public.gbt_int4_union(internal, internal)|gbtreekey8|immutable|invoker|-
public.gbt_int8_compress(internal)|internal|immutable|invoker|-
public.gbt_int8_consistent(internal, bigint, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_int8_distance(internal, bigint, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_int8_fetch(internal)|internal|immutable|invoker|-
public.gbt_int8_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_int8_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_int8_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_int8_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_intv_compress(internal)|internal|immutable|invoker|-
public.gbt_intv_consistent(internal, interval, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_intv_decompress(internal)|internal|immutable|invoker|-
public.gbt_intv_distance(internal, interval, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_intv_fetch(internal)|internal|immutable|invoker|-
public.gbt_intv_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_intv_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_intv_same(gbtreekey32, gbtreekey32, internal)|internal|immutable|invoker|-
public.gbt_intv_union(internal, internal)|gbtreekey32|immutable|invoker|-
public.gbt_macad8_compress(internal)|internal|immutable|invoker|-
public.gbt_macad8_consistent(internal, macaddr8, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_macad8_fetch(internal)|internal|immutable|invoker|-
public.gbt_macad8_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_macad8_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_macad8_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_macad8_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_macad_compress(internal)|internal|immutable|invoker|-
public.gbt_macad_consistent(internal, macaddr, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_macad_fetch(internal)|internal|immutable|invoker|-
public.gbt_macad_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_macad_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_macad_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_macad_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_numeric_compress(internal)|internal|immutable|invoker|-
public.gbt_numeric_consistent(internal, numeric, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_numeric_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_numeric_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_numeric_same(gbtreekey_var, gbtreekey_var, internal)|internal|immutable|invoker|-
public.gbt_numeric_union(internal, internal)|gbtreekey_var|immutable|invoker|-
public.gbt_oid_compress(internal)|internal|immutable|invoker|-
public.gbt_oid_consistent(internal, oid, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_oid_distance(internal, oid, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_oid_fetch(internal)|internal|immutable|invoker|-
public.gbt_oid_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_oid_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_oid_same(gbtreekey8, gbtreekey8, internal)|internal|immutable|invoker|-
public.gbt_oid_union(internal, internal)|gbtreekey8|immutable|invoker|-
public.gbt_text_compress(internal)|internal|immutable|invoker|-
public.gbt_text_consistent(internal, text, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_text_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_text_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_text_same(gbtreekey_var, gbtreekey_var, internal)|internal|immutable|invoker|-
public.gbt_text_union(internal, internal)|gbtreekey_var|immutable|invoker|-
public.gbt_time_compress(internal)|internal|immutable|invoker|-
public.gbt_time_consistent(internal, time without time zone, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_time_distance(internal, time without time zone, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_time_fetch(internal)|internal|immutable|invoker|-
public.gbt_time_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_time_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_time_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_time_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_timetz_compress(internal)|internal|immutable|invoker|-
public.gbt_timetz_consistent(internal, time with time zone, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_ts_compress(internal)|internal|immutable|invoker|-
public.gbt_ts_consistent(internal, timestamp without time zone, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_ts_distance(internal, timestamp without time zone, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_ts_fetch(internal)|internal|immutable|invoker|-
public.gbt_ts_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_ts_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_ts_same(gbtreekey16, gbtreekey16, internal)|internal|immutable|invoker|-
public.gbt_ts_union(internal, internal)|gbtreekey16|immutable|invoker|-
public.gbt_tstz_compress(internal)|internal|immutable|invoker|-
public.gbt_tstz_consistent(internal, timestamp with time zone, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_tstz_distance(internal, timestamp with time zone, smallint, oid, internal)|double precision|immutable|invoker|-
public.gbt_uuid_compress(internal)|internal|immutable|invoker|-
public.gbt_uuid_consistent(internal, uuid, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_uuid_fetch(internal)|internal|immutable|invoker|-
public.gbt_uuid_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_uuid_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_uuid_same(gbtreekey32, gbtreekey32, internal)|internal|immutable|invoker|-
public.gbt_uuid_union(internal, internal)|gbtreekey32|immutable|invoker|-
public.gbt_var_decompress(internal)|internal|immutable|invoker|-
public.gbt_var_fetch(internal)|internal|immutable|invoker|-
public.gbtreekey16_in(cstring)|gbtreekey16|immutable|invoker|-
public.gbtreekey16_out(gbtreekey16)|cstring|immutable|invoker|-
public.gbtreekey2_in(cstring)|gbtreekey2|immutable|invoker|-
public.gbtreekey2_out(gbtreekey2)|cstring|immutable|invoker|-
public.gbtreekey32_in(cstring)|gbtreekey32|immutable|invoker|-
public.gbtreekey32_out(gbtreekey32)|cstring|immutable|invoker|-
public.gbtreekey4_in(cstring)|gbtreekey4|immutable|invoker|-
public.gbtreekey4_out(gbtreekey4)|cstring|immutable|invoker|-
public.gbtreekey8_in(cstring)|gbtreekey8|immutable|invoker|-
public.gbtreekey8_out(gbtreekey8)|cstring|immutable|invoker|-
public.gbtreekey_var_in(cstring)|gbtreekey_var|immutable|invoker|-
public.gbtreekey_var_out(gbtreekey_var)|cstring|immutable|invoker|-
public.gin_extract_query_trgm(text, internal, smallint, internal, internal, internal, internal)|internal|immutable|invoker|-
public.gin_extract_value_trgm(text, internal)|internal|immutable|invoker|-
public.gin_trgm_consistent(internal, smallint, text, integer, internal, internal, internal, internal)|boolean|immutable|invoker|-
public.gin_trgm_triconsistent(internal, smallint, text, integer, internal, internal, internal)|"char"|immutable|invoker|-
public.gtrgm_compress(internal)|internal|immutable|invoker|-
public.gtrgm_consistent(internal, text, smallint, oid, internal)|boolean|immutable|invoker|-
public.gtrgm_decompress(internal)|internal|immutable|invoker|-
public.gtrgm_distance(internal, text, smallint, oid, internal)|double precision|immutable|invoker|-
public.gtrgm_in(cstring)|gtrgm|immutable|invoker|-
public.gtrgm_options(internal)|void|immutable|invoker|-
public.gtrgm_out(gtrgm)|cstring|immutable|invoker|-
public.gtrgm_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gtrgm_picksplit(internal, internal)|internal|immutable|invoker|-
public.gtrgm_same(gtrgm, gtrgm, internal)|internal|immutable|invoker|-
public.gtrgm_union(internal, internal)|gtrgm|immutable|invoker|-
public.int2_dist(smallint, smallint)|smallint|immutable|invoker|-
public.int4_dist(integer, integer)|integer|immutable|invoker|-
public.int8_dist(bigint, bigint)|bigint|immutable|invoker|-
public.interval_dist(interval, interval)|interval|immutable|invoker|-
public.oid_dist(oid, oid)|oid|immutable|invoker|-
public.regexp_match(citext, citext)|text[]|immutable|invoker|-
public.regexp_match(citext, citext, text)|text[]|immutable|invoker|-
public.regexp_matches(citext, citext)|SETOF text[]|immutable|invoker|-
public.regexp_matches(citext, citext, text)|SETOF text[]|immutable|invoker|-
public.regexp_replace(citext, citext, text)|text|immutable|invoker|-
public.regexp_replace(citext, citext, text, text)|text|immutable|invoker|-
public.regexp_split_to_array(citext, citext)|text[]|immutable|invoker|-
public.regexp_split_to_array(citext, citext, text)|text[]|immutable|invoker|-
public.regexp_split_to_table(citext, citext)|SETOF text|immutable|invoker|-
public.regexp_split_to_table(citext, citext, text)|SETOF text|immutable|invoker|-
public.replace(citext, citext, citext)|text|immutable|invoker|-
public.set_limit(real)|real|volatile|invoker|-
public.show_limit()|real|stable|invoker|-
public.show_trgm(text)|text[]|immutable|invoker|-
public.similarity(text, text)|real|immutable|invoker|-
public.similarity_dist(text, text)|real|immutable|invoker|-
public.similarity_op(text, text)|boolean|stable|invoker|-
public.split_part(citext, citext, integer)|text|immutable|invoker|-
public.strict_word_similarity(text, text)|real|immutable|invoker|-
public.strict_word_similarity_commutator_op(text, text)|boolean|stable|invoker|-
public.strict_word_similarity_dist_commutator_op(text, text)|real|immutable|invoker|-
public.strict_word_similarity_dist_op(text, text)|real|immutable|invoker|-
public.strict_word_similarity_op(text, text)|boolean|stable|invoker|-
public.strpos(citext, citext)|integer|immutable|invoker|-
public.texticlike(citext, citext)|boolean|immutable|invoker|-
public.texticlike(citext, text)|boolean|immutable|invoker|-
public.texticnlike(citext, citext)|boolean|immutable|invoker|-
public.texticnlike(citext, text)|boolean|immutable|invoker|-
public.texticregexeq(citext, citext)|boolean|immutable|invoker|-
public.texticregexeq(citext, text)|boolean|immutable|invoker|-
public.texticregexne(citext, citext)|boolean|immutable|invoker|-
public.texticregexne(citext, text)|boolean|immutable|invoker|-
public.time_dist(time without time zone, time without time zone)|interval|immutable|invoker|-
public.translate(citext, citext, text)|text|immutable|invoker|-
public.ts_dist(timestamp without time zone, timestamp without time zone)|interval|immutable|invoker|-
public.tstz_dist(timestamp with time zone, timestamp with time zone)|interval|immutable|invoker|-
public.word_similarity(text, text)|real|immutable|invoker|-
public.word_similarity_commutator_op(text, text)|boolean|stable|invoker|-
public.word_similarity_dist_commutator_op(text, text)|real|immutable|invoker|-
public.word_similarity_dist_op(text, text)|real|immutable|invoker|-
public.word_similarity_op(text, text)|boolean|stable|invoker|-
sync.begin_command(p_tenant_id uuid, p_command_id uuid, p_command_type text, p_payload jsonb, p_entity_id uuid)|jsonb|volatile|definer|search_path=sync, pg_temp
sync.begin_session_command(p_session_id uuid, p_command_id uuid, p_command_type text, p_payload jsonb)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
sync.begin_well_command(p_well_id uuid, p_command_id uuid, p_command_type text, p_payload jsonb)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
sync.finish_command(p_tenant_id uuid, p_command_id uuid, p_status text, p_response jsonb)|void|volatile|definer|search_path=sync, pg_temp
sync.finish_session_command(p_session_id uuid, p_command_id uuid, p_status text, p_response jsonb)|void|volatile|definer|search_path=pg_catalog, pg_temp
sync.finish_well_command(p_well_id uuid, p_command_id uuid, p_status text, p_response jsonb)|void|volatile|definer|search_path=pg_catalog, pg_temp
