# schema.table|column|type|nullability|default
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
core.ownership_share_versions|partner_id|uuid|NOT NULL|-
core.ownership_share_versions|ownership_percentage|numeric(9,6)|NOT NULL|-
core.ownership_share_versions|profit_percentage|numeric(9,6)|NOT NULL|-
core.ownership_share_versions|effective_period|daterange|NOT NULL|-
core.ownership_share_versions|approved_by|uuid|null|-
core.ownership_share_versions|approval_notes|text|null|-
core.ownership_share_versions|created_at|timestamp with time zone|NOT NULL|now()
core.partner_irrigation_policies|id|uuid|NOT NULL|gen_random_uuid()
core.partner_irrigation_policies|tenant_id|uuid|NOT NULL|-
core.partner_irrigation_policies|well_id|uuid|NOT NULL|-
core.partner_irrigation_policies|partner_id|uuid|NOT NULL|-
core.partner_irrigation_policies|policy_type|text|NOT NULL|'normal_customer'::text
core.partner_irrigation_policies|period_start|date|NOT NULL|CURRENT_DATE
core.partner_irrigation_policies|period_end|date|null|-
core.partner_irrigation_policies|notes|text|null|-
core.partner_irrigation_policies|created_at|timestamp with time zone|NOT NULL|now()
core.partner_irrigation_policies|updated_at|timestamp with time zone|NOT NULL|now()
core.person_aliases|id|uuid|NOT NULL|gen_random_uuid()
core.person_aliases|tenant_id|uuid|NOT NULL|-
core.person_aliases|person_id|uuid|NOT NULL|-
core.person_aliases|alias|text|NOT NULL|-
core.person_aliases|normalized_alias|text|NOT NULL|-
core.person_aliases|alias_type|text|NOT NULL|'known_as'::text
core.person_aliases|created_at|timestamp with time zone|NOT NULL|now()
core.person_contacts|id|uuid|NOT NULL|gen_random_uuid()
core.person_contacts|tenant_id|uuid|NOT NULL|-
core.person_contacts|person_id|uuid|NOT NULL|-
core.person_contacts|contact_type|text|NOT NULL|-
core.person_contacts|contact_value|text|NOT NULL|-
core.person_contacts|normalized_value|text|NOT NULL|-
core.person_contacts|is_primary|boolean|NOT NULL|false
core.person_contacts|belongs_to_person|boolean|NOT NULL|true
core.person_contacts|contact_owner_name|text|null|-
core.person_contacts|verified_at|timestamp with time zone|null|-
core.person_contacts|created_at|timestamp with time zone|NOT NULL|now()
core.person_merge_requests|id|uuid|NOT NULL|gen_random_uuid()
core.person_merge_requests|tenant_id|uuid|NOT NULL|-
core.person_merge_requests|primary_person_id|uuid|NOT NULL|-
core.person_merge_requests|duplicate_person_id|uuid|NOT NULL|-
core.person_merge_requests|requested_by|uuid|null|-
core.person_merge_requests|status|text|NOT NULL|'pending'::text
core.person_merge_requests|reviewed_by|uuid|null|-
core.person_merge_requests|reviewed_at|timestamp with time zone|null|-
core.person_merge_requests|reason|text|null|-
core.person_merge_requests|created_at|timestamp with time zone|NOT NULL|now()
core.persons|id|uuid|NOT NULL|gen_random_uuid()
core.persons|tenant_id|uuid|NOT NULL|-
core.persons|public_code|text|NOT NULL|core.generate_public_code('PER'::text)
core.persons|full_name|text|NOT NULL|-
core.persons|normalized_name|text|NOT NULL|-
core.persons|preferred_name|text|null|-
core.persons|father_name|text|null|-
core.persons|family_name|text|null|-
core.persons|nickname|text|null|-
core.persons|notes|text|null|-
core.persons|status|text|NOT NULL|'active'::text
core.persons|merged_into_person_id|uuid|null|-
core.persons|created_at|timestamp with time zone|NOT NULL|now()
core.persons|created_by|uuid|null|-
core.persons|updated_at|timestamp with time zone|NOT NULL|now()
core.persons|updated_by|uuid|null|-
core.persons|archived_at|timestamp with time zone|null|-
core.persons|version|bigint|NOT NULL|1
core.pump_line_links|id|uuid|NOT NULL|gen_random_uuid()
core.pump_line_links|tenant_id|uuid|NOT NULL|-
core.pump_line_links|pump_id|uuid|NOT NULL|-
core.pump_line_links|water_line_id|uuid|NOT NULL|-
core.pump_line_links|effective_from|timestamp with time zone|NOT NULL|now()
core.pump_line_links|effective_to|timestamp with time zone|null|-
core.pump_line_links|is_primary|boolean|NOT NULL|false
core.pumps|id|uuid|NOT NULL|gen_random_uuid()
core.pumps|well_id|uuid|NOT NULL|-
core.pumps|name|text|NOT NULL|-
core.pumps|power_source|text|null|-
core.pumps|status|text|NOT NULL|'active'::text
core.pumps|created_at|timestamp with time zone|NOT NULL|now()
core.pumps|updated_at|timestamp with time zone|NOT NULL|now()
core.pumps|tenant_id|uuid|NOT NULL|-
core.pumps|public_code|text|NOT NULL|-
core.pumps|pump_type|text|null|-
core.pumps|power_rating|text|null|-
core.pumps|estimated_fuel_ml_per_hour|bigint|null|-
core.pumps|estimated_water_flow_liters_per_minute|numeric(14,3)|null|-
core.pumps|installed_at|date|null|-
core.pumps|notes|text|null|-
core.tenants|id|uuid|NOT NULL|gen_random_uuid()
core.tenants|name|text|NOT NULL|-
core.tenants|timezone|text|NOT NULL|'Asia/Aden'::text
core.tenants|status|text|NOT NULL|'active'::text
core.tenants|created_at|timestamp with time zone|NOT NULL|now()
core.tenants|updated_at|timestamp with time zone|NOT NULL|now()
core.water_lines|id|uuid|NOT NULL|gen_random_uuid()
core.water_lines|tenant_id|uuid|NOT NULL|-
core.water_lines|well_id|uuid|NOT NULL|-
core.water_lines|public_code|text|NOT NULL|-
core.water_lines|name|text|NOT NULL|-
